incident_id,created_at,created_local,priority,status,raised_as,is_open,is_terminal,overdue,age_minutes,acknowledge_due_minutes,minutes_to_acknowledge,minutes_to_resolve,minutes_to_close,transition_count,acknowledged_at,resolved_at,closed_at,source_module,business_domain,assigned_to,assigned_role,escalation_contact,record_id,risk_score,model_version,event_id,data_origin,operational_context_origin,summary,recommended_action
ARK-INC-00011,2026-08-30T12:00:45.335Z,30 Aug 14:00,P2,new,new,TRUE,FALSE,TRUE,10076,60,,,,0,,,,cmapss_rul,asset_reliability,D. Keller,Maintenance Planner,R. Ortiz,FD001-Unit-076,0.8882,xgboost_v1,arkon-2026-000076,real,simulated,Engine unit 76 predicted RUL 14 cycles (priority threshold 25).,Schedule inspection before the next operating window.
ARK-INC-00012,2026-08-30T12:00:46.617Z,30 Aug 14:00,P1,false_positive,new,FALSE,TRUE,FALSE,10076,15,,,9054.4,1,,,2026-09-05T18:55:09.043Z,cmapss_rul,asset_reliability,D. Keller,Maintenance Planner,R. Ortiz,FD001-Unit-081,0.9472,xgboost_v1,arkon-2026-000081,real,simulated,Engine unit 81 predicted RUL 7 cycles (priority threshold 10).,Schedule immediate inspection before the next test run.
ARK-INC-00013,2026-08-30T12:00:47.788Z,30 Aug 14:00,P1,closed,new,FALSE,TRUE,FALSE,10076,15,6225.4,6225.4,6225.4,4,2026-09-03T19:46:11.291Z,2026-09-03T19:46:11.672Z,2026-09-03T19:46:11.887Z,cmapss_rul,asset_reliability,M. Brandt,Maintenance Planner,R. Ortiz,FD001-Unit-082,0.9365,xgboost_v1,arkon-2026-000082,real,simulated,Engine unit 82 predicted RUL 8 cycles (priority threshold 10).,Schedule immediate inspection before the next test run.
ARK-INC-00014,2026-08-30T12:00:49.072Z,30 Aug 14:00,P2,new,new,TRUE,FALSE,TRUE,10076,60,,,,0,,,,cmapss_rul,asset_reliability,D. Keller,Maintenance Planner,R. Ortiz,FD001-Unit-092,0.8322,xgboost_v1,arkon-2026-000092,real,simulated,Engine unit 92 predicted RUL 21 cycles (priority threshold 25).,Schedule inspection before the next operating window.
ARK-INC-00015,2026-08-30T12:00:50.419Z,30 Aug 14:00,P2,acknowledged,new,TRUE,FALSE,FALSE,10076,60,9054.6,,,1,2026-09-05T18:55:24.287Z,,,cmapss_rul,asset_reliability,D. Keller,Maintenance Planner,R. Ortiz,FD001-Unit-100,0.8823,xgboost_v1,arkon-2026-000100,real,simulated,Engine unit 100 predicted RUL 15 cycles (priority threshold 25).,Schedule inspection before the next operating window.
ARK-INC-00016,2026-08-30T12:06:46.337Z,30 Aug 14:06,P1,false_positive,new,FALSE,TRUE,FALSE,10070,15,,,6219.9,1,,,2026-09-03T19:46:42.884Z,cmapss_rul,asset_reliability,M. Brandt,Maintenance Planner,R. Ortiz,FD001-Unit-ATTRTEST,0.9506,xgboost_v1,arkon-attrtest-0001,real,simulated,Attribution check: engine unit ATTRTEST predicted RUL 5 cycles (priority threshold 10).,Schedule immediate inspection before the next test run.
ARK-INC-00017,2026-08-30T20:20:06.333Z,30 Aug 22:20,P3,new,new,TRUE,FALSE,FALSE,9577,,,,,0,,,,scania_aps,fleet_reliability,J. Winter,Fleet Reliability Engineer,R. Ortiz,SCANIA-APS-000056,0.0373,scania_xgboost_v1,arkon-2026-100002,real,simulated,"Truck record 56 flagged for the air pressure system, failure probability 0.037 (decision threshold 0.0034).",Add an APS check to the next planned service slot.
ARK-INC-00018,2026-08-30T20:34:10.333Z,30 Aug 22:34,P3,new,new,TRUE,FALSE,FALSE,9563,,,,,0,,,,casting_cv,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,CASTING-CAST_DEF_0_1059,0.9903,casting_resnet18_v1,arkon-2026-200001,real,simulated,"Impeller cast_def_0_1059 flagged by visual inspection, defect probability 0.990 (operating point 0.0637).",Quarantine the part and log the defect against the batch.
ARK-INC-00019,2026-09-02T09:09:01.855Z,02 Sep 11:09,P2,new,new,TRUE,FALSE,TRUE,5928,60,,,,0,,,,mvtec_anomaly,visual_inspection,A. Novak,QC Engineer,R. Ortiz,MVTEC-GRID-BENT-000,0.5369,mvtec_patchcore_v1_grid,arkon-2026-400001,real,simulated,"Component grid-bent-000 flagged as anomalous, score 2.038 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Pull the part and inspect it this shift. No sound part in the held-out set scored this high, so the model has no precedent for accepting it."
ARK-INC-00020,2026-09-02T09:09:03.210Z,02 Sep 11:09,P2,new,new,TRUE,FALSE,TRUE,5928,60,,,,0,,,,mvtec_anomaly,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,MVTEC-GRID-BENT-001,0.5635,mvtec_patchcore_v1_grid,arkon-2026-400002,real,simulated,"Component grid-bent-001 flagged as anomalous, score 2.269 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Pull the part and inspect it this shift. No sound part in the held-out set scored this high, so the model has no precedent for accepting it."
ARK-INC-00021,2026-09-02T09:09:04.386Z,02 Sep 11:09,P2,new,new,TRUE,FALSE,TRUE,5928,60,,,,0,,,,mvtec_anomaly,visual_inspection,A. Novak,QC Engineer,R. Ortiz,MVTEC-GRID-BENT-002,0.5452,mvtec_patchcore_v1_grid,arkon-2026-400003,real,simulated,"Component grid-bent-002 flagged as anomalous, score 2.107 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Pull the part and inspect it this shift. No sound part in the held-out set scored this high, so the model has no precedent for accepting it."
ARK-INC-00022,2026-09-02T09:09:05.937Z,02 Sep 11:09,P3,new,new,TRUE,FALSE,FALSE,5928,,,,,0,,,,mvtec_anomaly,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,MVTEC-GRID-GOOD-020,0.5005,mvtec_patchcore_v1_grid,arkon-2026-400036,real,simulated,"Component grid-good-020 flagged as anomalous, score 1.761 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Queue the part for review. It is above the flagging threshold but inside the range sound parts reach, so a person decides."
ARK-INC-00023,2026-09-02T09:09:07.063Z,02 Sep 11:09,P3,new,new,TRUE,FALSE,FALSE,5928,,,,,0,,,,mvtec_anomaly,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,MVTEC-GRID-THREAD-002,0.5024,mvtec_patchcore_v1_grid,arkon-2026-400050,real,simulated,"Component grid-thread-002 flagged as anomalous, score 1.774 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Queue the part for review. It is above the flagging threshold but inside the range sound parts reach, so a person decides."
ARK-INC-00024,2026-09-02T09:40:30.398Z,02 Sep 11:40,P2,new,new,TRUE,FALSE,TRUE,5897,60,,,,0,,,,neu_surface,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,NEU-INCLUSION_244,0.8662,neu_resnet18_v1,arkon-2026-300064,real,simulated,"Strip surface inclusion_244 classified as inclusion, confidence 0.866 (band edge 0.90).",Have QC classify the defect by eye before the coil is dispositioned. The model is not confident enough for its answer to be recorded unchecked.
ARK-INC-00025,2026-09-02T09:40:31.679Z,02 Sep 11:40,P2,new,new,TRUE,FALSE,TRUE,5897,60,,,,0,,,,neu_surface,visual_inspection,A. Novak,QC Engineer,R. Ortiz,NEU-INCLUSION_283,0.6352,neu_resnet18_v1,arkon-2026-300103,real,simulated,"Strip surface inclusion_283 classified as inclusion, confidence 0.635 (band edge 0.90).",Have QC classify the defect by eye before the coil is dispositioned. The model is not confident enough for its answer to be recorded unchecked.
ARK-INC-00026,2026-09-02T09:40:32.898Z,02 Sep 11:40,P2,new,new,TRUE,FALSE,TRUE,5896,60,,,,0,,,,neu_surface,visual_inspection,A. Novak,QC Engineer,R. Ortiz,NEU-INCLUSION_284,0.7486,neu_resnet18_v1,arkon-2026-300104,real,simulated,"Strip surface inclusion_284 classified as inclusion, confidence 0.749 (band edge 0.90).",Have QC classify the defect by eye before the coil is dispositioned. The model is not confident enough for its answer to be recorded unchecked.
ARK-INC-00027,2026-09-02T09:40:34.428Z,02 Sep 11:40,P3,new,new,TRUE,FALSE,FALSE,5896,,,,,0,,,,neu_surface,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,NEU-CRAZING_241,0.9977,neu_resnet18_v1,arkon-2026-300001,real,simulated,"Strip surface crazing_241 classified as crazing, confidence 0.998 (band edge 0.90).",Record the defect type against the coil and continue.
ARK-INC-00028,2026-09-02T09:40:35.530Z,02 Sep 11:40,P3,new,new,TRUE,FALSE,FALSE,5896,,,,,0,,,,neu_surface,visual_inspection,A. Novak,QC Engineer,R. Ortiz,NEU-CRAZING_242,0.9995,neu_resnet18_v1,arkon-2026-300002,real,simulated,"Strip surface crazing_242 classified as crazing, confidence 1.000 (band edge 0.90).",Record the defect type against the coil and continue.
ARK-INC-00029,2026-09-02T09:53:20.859Z,02 Sep 11:53,P2,new,new,TRUE,FALSE,TRUE,5884,60,,,,0,,,,mvtec_anomaly,visual_inspection,A. Novak,QC Engineer,R. Ortiz,MVTEC-GRID-METAL_CONTAMINATION-000,0.5842,mvtec_patchcore_v1_grid,arkon-2026-400037,real,simulated,"Component grid-metal_contamination-000 flagged as anomalous, score 2.469 against a threshold of 1.757 and a sound-part ceiling of 1.782.","Pull the part and inspect it this shift. No sound part in the held-out set scored this high, so the model has no precedent for accepting it."
ARK-INC-00030,2026-09-02T16:10:14.450Z,02 Sep 18:10,P2,new,new,TRUE,FALSE,TRUE,5507,60,,,,0,,,,gc10_detect,visual_inspection,A. Novak,QC Engineer,R. Ortiz,GC10-IMG_01_3437011300_00918,0.8582,gc10_fasterrcnn_v1,arkon-2026-500004,real,simulated,"Sheet img_01_3437011300_00918: 3 defects located, best is silk_spot at 0.858 (band edge 0.90).",Have QC look at the located defect before the coil is dispositioned. The model found something and is not confident enough about what it is for the answer to be recorded unchecked.
ARK-INC-00031,2026-09-02T16:10:15.642Z,02 Sep 18:10,P2,new,new,TRUE,FALSE,TRUE,5507,60,,,,0,,,,gc10_detect,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,GC10-IMG_01_SIS001577_00012,0.8654,gc10_fasterrcnn_v1,arkon-2026-500024,real,simulated,"Sheet img_01_SIS001577_00012: 1 defect located, best is silk_spot at 0.865 (band edge 0.90).",Have QC look at the located defect before the coil is dispositioned. The model found something and is not confident enough about what it is for the answer to be recorded unchecked.
ARK-INC-00032,2026-09-02T16:10:16.896Z,02 Sep 18:10,P2,closed,new,FALSE,TRUE,FALSE,5507,60,1656.7,1657.5,1658.8,6,2026-09-03T19:46:56.749Z,2026-09-03T19:47:47.094Z,2026-09-03T19:49:02.634Z,gc10_detect,visual_inspection,A. Novak,QC Engineer,R. Ortiz,GC10-IMG_01_SIS001577_00020,0.7535,gc10_fasterrcnn_v1,arkon-2026-500025,real,simulated,"Sheet img_01_SIS001577_00020: 1 defect located, best is silk_spot at 0.753 (band edge 0.90).",Have QC look at the located defect before the coil is dispositioned. The model found something and is not confident enough about what it is for the answer to be recorded unchecked.
ARK-INC-00033,2026-09-02T16:10:25.942Z,02 Sep 18:10,P3,new,new,TRUE,FALSE,FALSE,5507,,,,,0,,,,gc10_detect,visual_inspection,P. Lindt,QC Engineer,R. Ortiz,GC10-IMG_01_3436815300_00473,0.9338,gc10_fasterrcnn_v1,arkon-2026-500001,real,simulated,"Sheet img_01_3436815300_00473: 2 defects located, best is silk_spot at 0.934 (band edge 0.90).",Record the located defect against the coil and continue.
ARK-INC-00034,2026-09-02T16:10:27.062Z,02 Sep 18:10,P3,new,new,TRUE,FALSE,FALSE,5507,,,,,0,,,,gc10_detect,visual_inspection,A. Novak,QC Engineer,R. Ortiz,GC10-IMG_01_3436815300_00477,0.9438,gc10_fasterrcnn_v1,arkon-2026-500002,real,simulated,"Sheet img_01_3436815300_00477: 2 defects located, best is silk_spot at 0.944 (band edge 0.90).",Record the located defect against the coil and continue.
ARK-INC-00035,2026-09-03T16:46:11.386Z,03 Sep 18:46,P2,new,new,TRUE,FALSE,TRUE,4031,60,,,,0,,,,nhtsa_nlp,field_quality,L. Fischer,Field Quality Analyst,R. Ortiz,NHTSA-TESLA-INC-BACK-OVER-PREVENTION-202412,0.9228,nhtsa_tfidf_ovr_v1,arkon-2026-600001,real,simulated,"Tesla, Inc., BACK OVER PREVENTION in 2024-12: 55 complaints classified to this component against 4.6 expected from its own trailing baseline, 11.9 times the rate. Public complaint reports, not an inspection.","Have field quality look at this manufacturer and component before the next monthly review. The complaint rate moved further than its own recent history explains, and the module cannot say whether the vehicles or the reporting changed."
ARK-INC-00036,2026-09-03T16:46:12.580Z,03 Sep 18:46,P2,new,new,TRUE,FALSE,TRUE,4031,60,,,,0,,,,nhtsa_nlp,field_quality,L. Fischer,Field Quality Analyst,R. Ortiz,NHTSA-HONDA-AMERICAN-HONDA-MOTOR-CO-FUEL-SYSTEM-GASOLINE-202402,0.8584,nhtsa_tfidf_ovr_v1,arkon-2026-600002,real,simulated,"Honda (American Honda Motor Co.), FUEL SYSTEM, GASOLINE in 2024-02: 79 complaints classified to this component against 13.0 expected from its own trailing baseline, 6.1 times the rate. Public complaint reports, not an inspection.","Have field quality look at this manufacturer and component before the next monthly review. The complaint rate moved further than its own recent history explains, and the module cannot say whether the vehicles or the reporting changed."
ARK-INC-00037,2026-09-03T16:46:13.782Z,03 Sep 18:46,P2,new,new,TRUE,FALSE,TRUE,4031,60,,,,0,,,,nhtsa_nlp,field_quality,L. Fischer,Field Quality Analyst,R. Ortiz,NHTSA-VOLKSWAGEN-GROUP-OF-AMERICA-INC-BACK-OVER-PREVENTION-202407,0.829,nhtsa_tfidf_ovr_v1,arkon-2026-600003,real,simulated,"Volkswagen Group of America, Inc., BACK OVER PREVENTION in 2024-07: 16 complaints classified to this component against 3.3 expected from its own trailing baseline, 4.8 times the rate. Public complaint reports, not an inspection.","Have field quality look at this manufacturer and component before the next monthly review. The complaint rate moved further than its own recent history explains, and the module cannot say whether the vehicles or the reporting changed."
ARK-INC-00038,2026-09-03T16:46:19.949Z,03 Sep 18:46,P3,new,new,TRUE,FALSE,FALSE,4031,,,,,0,,,,nhtsa_nlp,field_quality,L. Fischer,Field Quality Analyst,R. Ortiz,NHTSA-GENERAL-MOTORS-LLC-VISIBILITY-WIPER-202410,0.719,nhtsa_tfidf_ovr_v1,arkon-2026-600010,real,simulated,"General Motors, LLC, VISIBILITY/WIPER in 2024-10: 43 complaints classified to this component against 16.8 expected from its own trailing baseline, 2.6 times the rate. Public complaint reports, not an inspection.",Record the movement against this manufacturer and component and carry it into the monthly field-quality review.
